                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6594,                 5.8798,                 1.9777,                 3.3874,                 6.0808,                   1.63,                0.31286,                0.43561,                0.29438,                0.09758,                 2.4263,                 1.8283,                 1.2964,                 1.9671,                 2.4858,                 1.1517,              0.0033231,              0.0033231,              0.0033231
                      2,                 2.4335,                 2.2329,                 1.3004,                 2.5187,                 2.7148,                  1.167,                0.58638,                0.62753,                0.58618,                0.19633,                   2.09,                 1.6402,                  1.106,                 2.1622,                 2.1307,                 1.1634,              0.0066345,              0.0066345,              0.0066345
                      3,                 2.2465,                 2.0445,                 1.2302,                 2.3785,                 2.5081,                 1.1452,                0.64113,                0.73485,                0.70724,                0.25108,                 2.1822,                  2.003,                 1.2252,                 1.9904,                  2.199,                 1.1713,              0.0099239,              0.0099239,              0.0099239
                      4,                 2.2934,                 2.0164,                 1.2637,                 2.4769,                 2.4744,                 1.1646,                0.68448,                0.62725,                0.63793,                 0.1848,                 2.1563,                 1.5135,                 1.1963,                 2.2535,                 1.5579,                 1.2631,               0.009901,               0.009901,               0.009901
                      5,                 2.2327,                 1.9771,                 1.2371,                 2.4389,                 2.4185,                 1.1574,                0.66294,                0.55177,                0.60491,                0.24122,                 2.0861,                 1.5052,                 1.1562,                 2.1328,                  2.014,                 1.1893,               0.009901,               0.009901,               0.009901
                      6,                 2.1688,                 1.8883,                 1.2125,                 2.3987,                 2.3373,                 1.1323,                0.69226,                0.63623,                0.65184,                0.23938,                 2.0722,                 1.5916,                 1.1543,                 2.0172,                 2.0318,                 1.1553,               0.009868,               0.009868,               0.009868
                      7,                 2.1149,                 1.8343,                 1.1887,                 2.3437,                 2.2688,                 1.1177,                0.78991,                0.70737,                0.79422,                 0.3455,                 1.7646,                 1.2238,                 1.0591,                 1.8814,                 1.1994,                 1.0898,               0.009835,               0.009835,               0.009835
                      8,                  2.038,                 1.7225,                  1.172,                 2.3134,                 2.1247,                 1.1232,                0.78996,                 0.7788,                0.79351,                  0.354,                 1.7779,                 1.1607,                 1.0485,                 1.8596,                 1.1118,                  1.094,               0.009802,               0.009802,               0.009802
                      9,                 1.9874,                 1.6308,                 1.1396,                 2.2401,                 2.0487,                 1.0927,                0.85067,                0.78283,                0.86653,                0.42474,                 1.8762,                 1.1246,                 1.1032,                 1.7085,                 1.0831,                 1.0409,               0.009769,               0.009769,               0.009769
                     10,                 1.9875,                 1.6225,                 1.1433,                   2.25,                 2.0373,                 1.0903,                0.79342,                0.79924,                0.80185,                0.38221,                 1.6897,                 1.1363,                 1.0451,                  1.705,                 1.0158,                 1.0489,               0.009736,               0.009736,               0.009736
                     11,                 1.9131,                 1.5532,                 1.1341,                 2.1692,                 1.9643,                 1.0825,                0.84576,                0.78233,                0.86127,                 0.4413,                 1.7104,                 1.0456,                 1.0385,                 1.7433,                0.89703,                 1.0576,               0.009703,               0.009703,               0.009703
                     12,                 1.9017,                 1.5329,                 1.1163,                 2.1997,                 1.9002,                 1.0769,                0.86868,                0.79345,                0.87216,                0.42435,                 1.6791,                 1.0066,                 1.0252,                 1.7744,                0.86356,                 1.0637,                0.00967,                0.00967,                0.00967
                     13,                 1.8619,                 1.4839,                  1.097,                 2.1808,                 1.8844,                 1.0631,                 0.8804,                0.80051,                0.87129,                0.39689,                 1.6641,                 1.0604,                 1.0153,                 1.8638,                0.92901,                 1.0834,               0.009637,               0.009637,               0.009637
                     14,                 1.8247,                 1.4513,                 1.0841,                  2.153,                 1.7866,                 1.0607,                0.84107,                0.85985,                0.87929,                0.50607,                 1.3832,                0.96524,                0.94948,                  1.478,                0.77802,                0.98222,               0.009604,               0.009604,               0.009604
                     15,                  1.801,                 1.4356,                 1.0833,                 2.1487,                 1.7609,                 1.0613,                0.83978,                0.81403,                0.86308,                0.48595,                 1.4783,                0.99175,                0.97119,                 1.5389,                0.84106,                0.99993,               0.009571,               0.009571,               0.009571
                     16,                 1.7919,                 1.4266,                  1.071,                 2.1161,                  1.735,                 1.0503,                0.83021,                0.86432,                0.89926,                0.45387,                 1.5977,                0.98141,                0.99444,                 1.7086,                 0.7594,                 1.0331,               0.009538,               0.009538,               0.009538
